"PhotoID","Year","DateUncertain","Catalog Number","Secondary Catalog Number","Manufacturer","Brand","Format","Texture2","Reflectance2","BaseColor2","Weight2","SurfaceDesignation2","Omit_from_Paperbase","LocationBox","LocationBag","Exposure","BackprintingPrimary","ProcessName","Link","AATA_ID"
-349439685,"1959",1,3214,"z","DuPont","texture screens","Sample book","[texture unspecified]","[gloss unspecified]","[base color unspecified]","[weight unspecified]","[not specified]",0,3,"17",27,,"photography and photographic processes and techniques","#https://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&page=1&subjectid=300149146#","300149146"
142594834,"1959",0,4167,,"Kodak","Opal","Not exposed - package open","Tweed","Luster","Cream White","Double Weight","R",0,87,"A",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
575489538,"1959",0,4216,,"Ilford","Bromide","Not exposed - package open","[texture unspecified]","[gloss unspecified]","[base color unspecified]","Single Weight","[not specified]",0,89,"A",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1794841179,"1959",0,4217,,"Ilford","Bromide","Not exposed - package open","[texture unspecified]","[gloss unspecified]","[base color unspecified]","Single Weight","[not specified]",0,89,"A",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-252965347,"1959",0,4223,,"Ilford","Bromide","Not exposed - package open","[texture unspecified]","[gloss unspecified]","[base color unspecified]","Single Weight","[not specified]",0,97,"A",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145795050,"1959",0,5484,"g","Haloid","Industro","Sample book","Egg Shell","Luster","White","Double Weight","GG",0,0,,7,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145795051,"1959",0,5484,"h","Haloid","Industro","Sample book","Egg Shell","Luster","White","Double Weight","GG",0,0,,8,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
992964370,"1960",1,115,,"Agfa","Brovira","Not exposed - package sealed","[texture unspecified]","Glossy","White","Single Weight","1",0,10,"C",,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-724912053,"1960",1,151,,"Agfa","Brovira","Not exposed - package open","[texture unspecified]","Glossy","White","Single Weight","1",0,8,"A",,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-2043721156,"1960",1,155,,"Agfa","Brovira","Not exposed - package sealed","[texture unspecified]","Glossy","White","Single Weight","1",0,8,"F",,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1979839629,"1960",1,156,,"Agfa","Brovira","Not exposed - package sealed","[texture unspecified]","Glossy","White","Single Weight","1",0,8,"F",,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1589828745,"1960",1,163,,"Agfa","Portriga Rapid","Package only","Filigran","Filigran","White","Double Weight","118",0,19,,,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
663308306,"1960",1,169,,"Agfa","Brovira","Not exposed - package open","Silk","Semi Glossy","White","Double Weight","117",0,8,"C",,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1952569131,"1960",1,170,,"Agfa","Portriga Rapid","Package only","Filigran","Filigran","White","Double Weight","118",0,19,,,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1251269969,"1960",1,171,,"Agfa","Portriga Rapid","Not exposed - package open","Filigran","Filigran","White","Double Weight","118",0,8,"C",,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2024876007,"1960",1,173,,"Agfa","Brovira","Not exposed - package sealed","Silk","Semi Glossy","White","Double Weight","117",0,8,"C",,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
398298524,"1960",1,174,,"Agfa","Portriga Rapid","Not exposed - package sealed","Filigran","Filigran","White","Double Weight","118",0,8,"D",,"A10","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-368566998,"1960",1,176,,"Agfa","Brovira","Package only","[texture unspecified]","Glossy","White","Single Weight","1",0,19,,,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-714554410,"1960",1,178,,"Agfa","Brovira","Package only","[texture unspecified]","Glossy","White","Single Weight","1",0,19,,,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-38814094,"1960",0,190,,"Kodak","Athena","Not exposed - package open","Fine Grained","Luster","Cream White","Double Weight","G",0,1,"G",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1773668145,"1960",0,192,,"Kodak","Azo","Not exposed - package open","Smooth","Glossy","White","Double Weight","F",0,1,"H",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1839080511,"1960",0,221,,"Ansco","Convira","Not exposed - package open","Smooth","Glossy","Pure White","Single Weight","GL (Glossy)",0,18,"B",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1693828912,"1960",1,257,,"Agfa","Brovira","Not exposed - package open","Silk","Semi Glossy","White","Double Weight","117",0,8,"A",,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1814635377,"1960",1,258,,"Agfa","Brovira","Not exposed - package open","[texture unspecified]","Glossy","White","Single Weight","1",0,8,"A",,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
